Po Name,Zip,latitude,Pop2001,Area,zip2,State,longitude,Sumblkpop
DANVERS,61732,40.5395,2125,55.72092,61732,IL,-89.1968,2091
DEER CREEK,61733,40.6314,1926,40.31869,61733,IL,-89.3044,1683
DELAVAN,61734,40.3707,2922,73.5199,61734,IL,-89.5075,2897
DEWITT,61735,40.1824,472,34.95155,61735,IL,-88.7434,465
DOWNS,61736,40.3455,916,29.43719,61736,IL,-88.8701,894
ELLSWORTH,61737,40.4528,696,38.55608,61737,IL,-88.7464,687
EL PASO,61738,40.7575,3800,58.32034,61738,IL,-89.0023,3768
FAIRBURY,61739,40.7113,4620,79.29437,61739,IL,-88.5234,4640
FLANAGAN,61740,40.8777,1534,41.59045,61740,IL,-88.8666,1533
FORREST,61741,40.752,1897,65.4204,61741,IL,-88.4112,1899
GOODFIELD,61742,40.6328,450,1.11905,61742,IL,-89.2648,633
GRAYMONT,61743,40.8867,220,12.29296,61743,IL,-88.7866,222
GRIDLEY,61744,40.7428,2166,87.90186,61744,IL,-88.8911,2147
HEYWORTH,61745,40.3384,3795,48.73742,61745,IL,-88.98,3717
HOPEDALE,61747,40.4253,1517,27.92359,61747,IL,-89.4209,1501
HUDSON,61748,40.6183,2334,39.63194,61748,IL,-88.987,2331
KENNEY,61749,40.0926,802,38.98695,61749,IL,-89.0896,797
LE ROY,61752,40.3395,4090,76.72863,61752,IL,-88.7582,4047
LEXINGTON,61753,40.6211,3462,80.41273,61753,IL,-88.8063,3415
MC LEAN,61754,40.3319,1335,70.98398,61754,IL,-89.1639,1332
MACKINAW,61755,40.53,4007,39.82563,61755,IL,-89.3268,3894
MAROA,61756,40.0107,1978,39.2925,61756,IL,-88.9662,1978
MINIER,61759,40.4386,1560,33.39962,61759,IL,-89.3191,1550
MINONK,61760,40.8866,2647,69.52015,61760,IL,-89.0401,2652
NORMAL,61761,40.5357,44060,29.79407,61761,IL,-88.9855,43687
PONTIAC,61764,40.8764,14828,186.57815,61764,IL,-88.6287,14850
SAUNEMIN,61769,40.8804,668,38.15549,61769,IL,-88.4061,669
SAYBROOK,61770,40.4309,1105,45.67661,61770,IL,-88.5148,1099
SECOR,61771,40.711,1029,41.32305,61771,IL,-89.1155,1024
SHIRLEY,61772,40.3858,452,34.15894,61772,IL,-89.0722,451
SIBLEY,61773,40.5736,593,47.22577,61773,IL,-88.3849,594
STANFORD,61774,40.4325,1096,43.53474,61774,IL,-89.2131,1085
STRAWN,61775,40.6452,259,22.64882,61775,IL,-88.4032,264
TOWANDA,61776,40.5358,1005,33.40318,61776,IL,-88.8621,992
WAPELLA,61777,40.2481,1001,29.05834,61777,IL,-88.9762,1004
WAYNESVILLE,61778,40.2532,678,24.32282,61778,IL,-89.091,687
NORMAL,61790,40.5224,1964,0.76047,61790,IL,-89.0096,1932
URBANA,61801,40.1082,29470,5.8104,61801,IL,-88.2121,29262
URBANA,61802,40.1297,16959,83.57799,61802,IL,-88.1507,16781
ALLERTON,61810,39.9335,395,26.84196,61810,IL,-87.9172,397
ALVIN,61811,40.2976,750,30.85461,61811,IL,-87.6061,760
